Activity Type,Date,Favorite,Title,Place,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,3/2/2024 11:40,FALSE,Leuven Running,Leuven,7.25,371,0:43:51,168,189,4.4,173,179,6:03,5:32,49,60,0.95,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,01:31.2,8,NaN,--,--,--,--,--,--,--,--,0:43:31,0:48:41,21,46
Strength Training,3/1/2024 5:45,FALSE,Strength,Unknown,0,341,0:57:33,147,169,3.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:57:33,1,NaN,--,--,--,--,--,--,--,--,0:57:33,0:57:33,--,--
Running,2/29/2024 9:33,FALSE,Leuven Running,Leuven,6.76,333,0:40:53,163,184,4.3,169,181,6:03,5:32,43,42,0.98,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:39.1,7,NaN,--,--,--,--,--,--,--,--,0:40:10,0:45:38,20,46
Strength Training,2/28/2024 5:43,FALSE,Strength,Unknown,0,246,0:51:06,130,154,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:51:06,1,NaN,--,--,--,--,--,--,--,--,0:51:06,0:51:06,--,--
Running,2/27/2024 11:19,FALSE,Leuven Running,Leuven,5.86,304,0:43:19,154,178,3.5,165,177,7:23,5:42,44,45,0.86,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:03.4,7,NaN,--,--,--,--,--,--,--,--,0:40:46,0:46:00,18,46
Strength Training,2/26/2024 6:16,FALSE,Strength,Unknown,0,223,0:49:51,123,157,2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,13,1,No,0:49:51,1,NaN,--,--,--,--,--,--,--,--,0:49:51,0:49:51,--,--
Running,2/23/2024 12:09,FALSE,Middelkerke Running,Middelkerke,4.08,166,0:24:49,137,156,3.3,167,179,6:05,0:52,26,31,0.94,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,01:36.4,4,NaN,--,--,--,--,--,--,--,--,0:20:24,0:22:03,--,18
Cardio,2/23/2024 11:58,FALSE,Cardio,Unknown,0,64,0:10:55,136,162,1.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:10:55,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:10:55,--,--
Running,2/23/2024 11:47,FALSE,Middelkerke Running,Middelkerke,0.96,46,05:30.2,142,158,2.2,171,181,5:44,5:27,--,--,1.02,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,05:30.2,1,NaN,--,--,--,--,--,--,--,--,0:05:25,05:30.2,--,--
Strength Training,2/22/2024 9:52,FALSE,Strength,Unknown,0,259,1:03:55,121,149,1.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,1:03:55,1,NaN,--,--,--,--,--,--,--,--,1:03:55,1:03:55,--,--
Running,2/21/2024 11:57,FALSE,Leuven Running,Leuven,5.93,242,0:35:11,166,188,4.2,169,182,5:56,5:13,24,27,1.02,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:54.8,5,NaN,--,--,--,--,--,--,--,--,0:27:35,0:36:09,22,46
Strength Training,2/21/2024 5:47,FALSE,Strength,Unknown,0,346,1:01:49,140,172,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,1:01:49,1,NaN,--,--,--,--,--,--,--,--,1:01:49,1:01:49,--,--
Strength Training,2/19/2024 5:45,FALSE,Strength,Unknown,0,251,0:55:04,130,163,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,11,1,No,0:55:04,1,NaN,--,--,--,--,--,--,--,--,0:55:04,0:55:04,--,--
Strength Training,2/18/2024 9:30,FALSE,Strength,Unknown,0,12,01:57.7,135,138,0.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,01:57.7,1,NaN,--,--,--,--,--,--,--,--,01:57.7,01:57.7,--,--
Cardio,2/18/2024 9:15,FALSE,Cardio,Unknown,0,87,0:10:56,165,182,2.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:10:56,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:10:56,--,--
Running,2/18/2024 9:00,FALSE,Zemst Running,Zemst,2.02,103,0:11:21,170,186,3.3,176,185,5:38,5:08,8,10,1.01,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:05.3,3,NaN,--,--,--,--,--,--,--,--,0:11:14,0:11:21,8,20
Running,2/16/2024 17:03,FALSE,Zemst Running,Zemst,3.81,191,0:21:15,169,187,4,173,183,5:34,5:08,14,17,1.04,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:17.8,4,NaN,--,--,--,--,--,--,--,--,0:21:10,0:24:38,8,21
Strength Training,2/15/2024 11:25,FALSE,Strength,Unknown,0,256,1:01:19,125,153,2.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,11,1,No,1:01:19,1,NaN,--,--,--,--,--,--,--,--,1:01:19,1:01:19,--,--
Running,2/14/2024 11:00,FALSE,Leuven Running,Leuven,4.84,229,0:28:17,155,179,3.9,169,183,5:50,2:26,25,116,1.01,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:58.9,5,NaN,--,--,--,--,--,--,--,--,0:27:42,0:30:50,22,124
Strength Training,2/13/2024 5:43,FALSE,Strength,Unknown,0,259,0:53:37,131,159,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:53:37,1,NaN,--,--,--,--,--,--,--,--,0:53:37,0:53:37,--,--
Running,2/12/2024 10:09,FALSE,Leuven Running,Leuven,3,171,0:23:04,161,173,3.2,161,175,7:42,6:33,11,10,0.81,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,07:01.3,3,NaN,--,--,--,--,--,--,--,--,0:22:37,0:26:43,34,45
Running,2/12/2024 9:37,FALSE,Leuven Running,Leuven,2.01,98,0:11:34,145,159,3.1,171,179,5:45,5:06,8,2,1.02,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:03.7,3,NaN,--,--,--,--,--,--,--,--,0:11:27,0:11:43,35,43
Running,2/10/2024 15:25,FALSE,Zemst Running,Zemst,2.94,149,0:17:23,159,183,3.6,168,177,5:54,5:30,11,13,1.01,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,05:26.1,3,NaN,--,--,--,--,--,--,--,--,0:17:09,0:18:18,8,22
Strength Training,2/9/2024 12:22,FALSE,Strength,Unknown,0,357,1:08:41,137,167,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,10,1,No,1:08:41,1,NaN,--,--,--,--,--,--,--,--,1:08:41,1:08:41,--,--
Running,2/8/2024 15:25,FALSE,Zemst Running,Zemst,5.05,259,0:30:02,169,192,4.5,172,179,5:57,5:16,12,12,0.98,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:18.5,6,NaN,--,--,--,--,--,--,--,--,0:29:53,0:32:44,6,15
Running,2/6/2024 13:13,FALSE,Leuven Running,Leuven,0.37,18,02:08.2,185,201,1.1,157,175,5:44,5:30,--,4,1.11,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:08.2,1,NaN,--,--,--,--,--,--,--,--,0:02:02,02:14.2,37,42
Running,2/6/2024 12:50,FALSE,Leuven Running,Leuven,2.01,93,0:12:15,154,189,2.9,165,175,6:06,5:38,8,4,1,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:03.0,3,NaN,--,--,--,--,--,--,--,--,0:12:03,0:12:56,37,43
Strength Training,1/25/2024 8:32,FALSE,Strength,Unknown,0,326,1:09:42,132,166,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,11,1,No,1:09:42,1,NaN,--,--,--,--,--,--,--,--,1:09:42,1:09:42,--,--
Strength Training,1/24/2024 8:30,FALSE,Strength,Unknown,0,315,1:09:38,129,168,2.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,8,1,No,1:09:38,1,NaN,--,--,--,--,--,--,--,--,1:09:38,1:09:38,--,--
Strength Training,1/23/2024 6:47,FALSE,Strength,Unknown,0,354,1:02:44,141,177,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,8,1,No,1:02:44,1,NaN,--,--,--,--,--,--,--,--,1:02:44,1:13:04,--,--
Treadmill Running,1/21/2024 10:27,FALSE,Treadmill Running,Treadmill,2.15,81,0:14:06,133,161,2,153,175,6:33,5:16,--,--,0.99,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:50.1,3,NaN,--,--,--,--,--,--,--,--,0:13:52,0:14:06,--,--
Strength Training,1/21/2024 10:07,FALSE,Strength,Unknown,0,75,0:19:34,112,132,0.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:19:34,1,NaN,--,--,--,--,--,--,--,--,0:19:34,0:19:34,--,--
Strength Training,1/20/2024 9:22,FALSE,Strength,Unknown,0,230,0:52:15,124,157,2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:52:15,1,NaN,--,--,--,--,--,--,--,--,0:52:15,0:52:15,--,--
Strength Training,1/19/2024 8:31,FALSE,Strength,Unknown,0,266,0:58:25,129,174,2.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:58:25,1,NaN,--,--,--,--,--,--,--,--,0:58:25,0:58:25,--,--
Strength Training,1/17/2024 10:27,FALSE,Strength,Unknown,0,299,0:56:28,137,173,2.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:56:28,1,NaN,--,--,--,--,--,--,--,--,0:56:28,0:56:28,--,--
Strength Training,1/16/2024 6:16,FALSE,Strength,Unknown,0,343,0:52:50,152,181,3.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:52:50,1,NaN,--,--,--,--,--,--,--,--,0:52:50,0:52:50,--,--
Strength Training,1/15/2024 6:13,FALSE,Strength,Unknown,0,302,0:55:39,141,174,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:55:39,1,NaN,--,--,--,--,--,--,--,--,0:55:39,0:55:39,--,--
Strength Training,1/14/2024 10:27,FALSE,Strength,Unknown,0,294,0:59:05,131,165,2.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:59:05,1,NaN,--,--,--,--,--,--,--,--,0:59:05,0:59:05,--,--
Cardio,1/11/2024 11:36,FALSE,Cardio,Unknown,0,56,06:44.3,166,171,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,06:44.3,1,NaN,--,--,--,--,--,--,--,--,0:00:00,06:44.3,--,--
Strength Training,1/11/2024 10:41,FALSE,Strength,Unknown,0,383,0:54:45,154,176,3.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:54:45,1,NaN,--,--,--,--,--,--,--,--,0:54:45,0:54:45,--,--
Strength Training,1/10/2024 9:30,FALSE,Strength,Unknown,0,326,0:58:43,140,174,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,12,1,No,0:58:43,1,NaN,--,--,--,--,--,--,--,--,0:58:43,0:58:43,--,--
Cardio,1/8/2024 8:57,FALSE,Cardio,Unknown,0,34,04:23.8,155,182,1.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:23.8,1,NaN,--,--,--,--,--,--,--,--,0:00:00,04:23.8,--,--
Strength Training,1/8/2024 8:04,FALSE,Strength,Unknown,0,280,0:52:48,134,156,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:52:48,1,NaN,--,--,--,--,--,--,--,--,0:52:48,0:52:48,--,--
Strength Training,1/7/2024 12:20,FALSE,Strength,Unknown,0,300,0:58:13,133,169,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:58:13,1,NaN,--,--,--,--,--,--,--,--,0:58:13,0:58:13,--,--
Cardio,1/6/2024 11:02,FALSE,Cardio,Unknown,0,43,06:14.1,145,168,1.7,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,06:14.1,1,NaN,--,--,--,--,--,--,--,--,0:00:00,06:14.1,--,--
Strength Training,1/6/2024 9:59,FALSE,Strength,Unknown,0,347,1:02:19,139,183,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,1:02:19,1,NaN,--,--,--,--,--,--,--,--,1:02:19,1:02:19,--,--
Strength Training,1/5/2024 8:11,FALSE,Strength,Unknown,0,335,0:57:59,141,180,3.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,9,1,No,0:57:59,1,NaN,--,--,--,--,--,--,--,--,0:57:59,0:57:59,--,--
Treadmill Running,1/4/2024 11:26,FALSE,Treadmill Running,Treadmill,0.83,42,04:49.4,174,181,2.3,163,216,5:47,4:39,--,--,1.06,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:49.4,1,NaN,--,--,--,--,--,--,--,--,0:04:47,04:49.4,--,--
Strength Training,1/4/2024 10:31,FALSE,Strength,Unknown,0,365,0:54:33,150,178,3.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:54:33,1,NaN,--,--,--,--,--,--,--,--,0:54:33,0:54:33,--,--
Strength Training,1/2/2024 11:48,FALSE,Strength,Unknown,0,305,1:01:39,129,159,2.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,3,1,No,1:01:39,1,NaN,--,--,--,--,--,--,--,--,1:01:39,1:01:39,--,--
Strength Training,1/1/2024 12:19,FALSE,Strength,Unknown,0,290,0:55:10,135,163,2.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,10,1,No,0:55:10,1,NaN,--,--,--,--,--,--,--,--,0:55:10,0:55:10,--,--
Strength Training,12/31/2023 9:05,FALSE,Strength,Unknown,0,266,0:50:35,134,165,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:50:35,1,NaN,--,--,--,--,--,--,--,--,0:50:35,0:50:35,--,--
Strength Training,12/30/2023 10:46,FALSE,Strength,Unknown,0,365,0:58:17,144,173,3.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:58:17,1,NaN,--,--,--,--,--,--,--,--,0:58:17,0:58:17,--,--
Strength Training,12/29/2023 10:26,FALSE,Strength,Unknown,0,307,1:00:28,135,161,2.7,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,1:00:28,1,NaN,--,--,--,--,--,--,--,--,1:00:28,1:00:28,--,--
Strength Training,12/28/2023 10:39,FALSE,Strength,Unknown,0,304,1:04:15,130,162,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,13,2,No,1:04:15,1,NaN,--,--,--,--,--,--,--,--,1:04:11,1:04:15,--,--
Strength Training,12/26/2023 10:59,FALSE,Strength,Unknown,0,365,0:54:25,152,185,3.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,0:54:25,1,NaN,--,--,--,--,--,--,--,--,0:54:25,0:57:08,--,--
Cardio,12/25/2023 11:36,FALSE,Cardio,Unknown,0,85,0:10:14,168,179,2.7,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:10:14,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:10:38,--,--
Strength Training,12/25/2023 10:58,FALSE,Strength,Unknown,0,216,0:35:40,139,168,2.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:35:40,1,NaN,--,--,--,--,--,--,--,--,0:35:40,0:35:40,--,--
Cardio,12/24/2023 14:24,FALSE,Cardio,Unknown,0,76,09:55.6,158,173,2.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,09:55.6,1,NaN,--,--,--,--,--,--,--,--,0:00:00,09:55.6,--,--
Strength Training,12/24/2023 13:33,FALSE,Strength,Unknown,0,300,0:50:51,143,169,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,8,1,No,0:50:51,1,NaN,--,--,--,--,--,--,--,--,0:50:51,0:50:51,--,--
Strength Training,12/21/2023 5:16,FALSE,Strength,Unknown,0,356,0:53:29,151,180,3.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:53:29,1,NaN,--,--,--,--,--,--,--,--,0:53:29,0:53:29,--,--
Strength Training,12/16/2023 10:06,FALSE,Strength,Unknown,0,299,1:05:41,125,163,2.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,1:05:41,1,NaN,--,--,--,--,--,--,--,--,1:05:41,1:05:41,--,--
Strength Training,12/14/2023 5:17,FALSE,Strength,Unknown,0,338,1:00:08,142,172,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,13,1,No,1:00:08,1,NaN,--,--,--,--,--,--,--,--,1:00:08,1:00:08,--,--
Strength Training,12/12/2023 5:14,FALSE,Strength,Unknown,0,293,0:52:48,139,179,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:52:48,1,NaN,--,--,--,--,--,--,--,--,0:52:48,0:52:48,--,--
Strength Training,12/11/2023 5:13,FALSE,Strength,Unknown,0,326,0:52:15,144,166,2.9,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:52:15,1,NaN,--,--,--,--,--,--,--,--,0:52:15,0:52:15,--,--
Strength Training,12/8/2023 10:21,FALSE,Strength,Unknown,0,304,1:02:13,132,162,2.4,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,3,1,No,1:02:13,1,NaN,--,--,--,--,--,--,--,--,1:02:13,1:02:13,--,--
Running,12/6/2023 17:59,FALSE,Zemst Running,Zemst,5.01,271,0:30:17,175,187,4.3,170,243,6:03,5:31,6,7,0.97,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:03.5,6,NaN,--,--,--,--,--,--,--,--,0:29:54,0:31:05,6,15
Running,12/4/2023 17:55,FALSE,Zemst Running,Zemst,5.01,268,0:30:40,164,187,4,168,231,6:08,5:13,6,6,0.97,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:02.1,6,NaN,--,--,--,--,--,--,--,--,0:30:05,0:31:17,6,15
Running,12/2/2023 10:16,FALSE,Zemst Running,Zemst,4.79,251,0:28:36,175,194,4.1,170,179,5:58,5:31,4,4,0.99,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,04:42.4,5,NaN,--,--,--,--,--,--,--,--,0:28:13,0:34:34,6,15
Strength Training,11/30/2023 5:17,FALSE,Strength,Unknown,0,312,0:51:05,142,163,2.8,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:51:05,1,NaN,--,--,--,--,--,--,--,--,0:51:05,0:51:05,--,--
Strength Training,11/29/2023 5:19,FALSE,Strength,Unknown,0,372,1:03:33,143,166,3.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,3,1,No,1:03:33,1,NaN,--,--,--,--,--,--,--,--,1:03:33,1:03:33,--,--
Strength Training,11/28/2023 5:15,FALSE,Strength,Unknown,0,250,0:55:25,123,177,2.9,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:55:25,1,NaN,--,--,--,--,--,--,--,--,0:55:25,0:55:25,--,--
Cardio,11/27/2023 11:34,FALSE,Cardio,Unknown,0,407,0:52:42,163,187,4.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:52:42,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:54:09,--,--
Strength Training,11/26/2023 11:11,FALSE,Strength,Unknown,0,338,1:00:33,139,175,2.9,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,12,1,No,1:00:33,1,NaN,--,--,--,--,--,--,--,--,1:00:33,1:02:20,--,--
Strength Training,11/25/2023 10:24,FALSE,Strength,Unknown,0,305,1:05:34,127,158,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,1:05:34,1,NaN,--,--,--,--,--,--,--,--,1:05:34,1:05:34,--,--
Strength Training,11/24/2023 5:16,FALSE,Strength,Unknown,0,409,1:05:39,149,184,3.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,1:05:39,1,NaN,--,--,--,--,--,--,--,--,1:05:39,1:05:39,--,--
Strength Training,11/21/2023 5:17,FALSE,Strength,Unknown,0,317,0:55:28,139,169,2.9,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:55:28,1,NaN,--,--,--,--,--,--,--,--,0:55:28,0:55:28,--,--
Strength Training,11/20/2023 5:16,FALSE,Strength,Unknown,0,341,0:55:40,142,163,2.9,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,10,1,No,0:55:40,1,NaN,--,--,--,--,--,--,--,--,0:55:40,0:55:40,--,--
Treadmill Running,11/19/2023 12:07,FALSE,Treadmill Running,Treadmill,1.41,66,07:45.6,174,182,2.5,169,172,5:31,5:18,--,--,1.07,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:12.5,2,NaN,--,--,--,--,--,--,--,--,07:45.5,07:45.6,--,--
Strength Training,11/19/2023 11:11,FALSE,Strength,Unknown,0,346,0:55:18,144,175,3.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,7,1,No,0:55:18,1,NaN,--,--,--,--,--,--,--,--,0:55:18,0:55:18,--,--
Strength Training,11/16/2023 5:16,FALSE,Strength,Unknown,0,398,1:01:31,151,179,3.5,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,1:01:31,1,NaN,--,--,--,--,--,--,--,--,1:01:31,1:01:31,--,--
Strength Training,11/15/2023 5:15,FALSE,Strength,Unknown,0,328,0:50:46,147,172,3.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,11,1,No,0:50:46,1,NaN,--,--,--,--,--,--,--,--,0:50:46,0:50:46,--,--
Cardio,11/14/2023 17:03,FALSE,Cardio,Unknown,0,250,0:30:26,167,183,3.6,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,0:30:26,1,NaN,--,--,--,--,--,--,--,--,0:00:00,0:30:26,--,--
Treadmill Running,11/13/2023 6:09,FALSE,Treadmill Running,Treadmill,0.45,19,02:31.8,148,158,0.8,169,240,5:40,4:08,--,--,1.04,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,02:31.8,1,NaN,--,--,--,--,--,--,--,--,02:31.8,02:31.8,--,--
Strength Training,11/13/2023 5:19,FALSE,Strength,Unknown,0,248,0:48:09,131,156,2.2,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,4,1,No,0:48:09,1,NaN,--,--,--,--,--,--,--,--,05:48.3,0:48:09,--,--
Strength Training,11/9/2023 5:19,FALSE,Strength,Unknown,0,333,0:53:02,144,172,3.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,11,1,No,0:53:02,1,NaN,--,--,--,--,--,--,--,--,0:53:02,0:53:02,--,--
Strength Training,11/8/2023 5:18,FALSE,Strength,Unknown,0,418,1:00:47,157,181,3.7,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,6,1,No,1:00:47,1,NaN,--,--,--,--,--,--,--,--,1:00:47,1:00:47,--,--
Strength Training,11/7/2023 5:17,FALSE,Strength,Unknown,0,313,0:48:04,146,171,3.1,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,10,1,No,0:48:04,1,NaN,--,--,--,--,--,--,--,--,0:48:04,0:48:04,--,--
Strength Training,11/6/2023 5:17,FALSE,Strength,Unknown,0,381,1:02:30,144,174,3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,17,1,No,1:02:30,1,NaN,--,--,--,--,--,--,--,--,1:02:30,1:02:30,--,--
Strength Training,11/2/2023 5:17,FALSE,Strength,Unknown,0,267,0:50:36,132,161,2.3,--,--,--,--,--,--,NaN,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,5,1,No,0:50:36,1,NaN,--,--,--,--,--,--,--,--,0:50:36,0:50:36,--,--
Treadmill Running,11/1/2023 6:35,FALSE,Treadmill Running,Treadmill,1.03,48,05:43.8,168,181,2.1,169,174,5:33,5:15,--,--,1.07,NaN,NaN,NaN,0,NaN,NaN,--,NaN,NaN,NaN,--,No,00:11.0,2,NaN,--,--,--,--,--,--,--,--,05:43.8,05:43.8,--,--
